rank,world_size,M,K,N,num_comm_sms,impl,ms,tflops
0,8,4096,4096,512,1,TK,0.16128000020980834,106.5220062106324
1,8,4096,4096,512,1,NCCL,0.28083200454711915,61.174897824430445
1,8,4096,4096,512,1,TK,0.1614143967628479,106.43331405711525
2,8,4096,4096,512,1,NCCL,0.2737728118896484,62.75228378384342
2,8,4096,4096,512,1,TK,0.16143360137939453,106.42065243669184
3,8,4096,4096,512,1,NCCL,0.2788095951080322,61.61864399732441
3,8,4096,4096,512,1,TK,0.16104960441589355,106.67439542189005
4,8,4096,4096,512,1,NCCL,0.28741118907928465,59.774531531062955
4,8,4096,4096,512,1,TK,0.16132479906082153,106.49242573996925
5,8,4096,4096,512,1,NCCL,0.255513596534729,67.23661447763676
5,8,4096,4096,512,1,TK,0.16092159748077392,106.75925079635479
6,8,4096,4096,512,1,NCCL,0.17365119457244874,98.93320472858834
6,8,4096,4096,512,1,TK,0.15915520191192628,107.94412609590378
7,8,4096,4096,512,1,NCCL,0.26634879112243653,64.50139725283256
7,8,4096,4096,512,1,TK,0.1613055944442749,106.50510444592798
0,8,4096,4096,512,2,NCCL,0.15798399448394776,108.74436514988605
0,8,4096,4096,512,2,TK,0.14858880043029785,115.62021588604841
1,8,4096,4096,512,2,NCCL,0.15826560258865358,108.55087209728075
1,8,4096,4096,512,2,TK,0.1502784013748169,114.32028173596834
2,8,4096,4096,512,2,NCCL,0.15742080211639403,109.13341155063816
2,8,4096,4096,512,2,TK,0.14947839975357055,114.93211870292068
3,8,4096,4096,512,2,NCCL,0.1577407956123352,108.91202315361308
3,8,4096,4096,512,2,TK,0.1496448040008545,114.80431478196796
4,8,4096,4096,512,2,NCCL,0.15834239721298218,108.49822591034675
4,8,4096,4096,512,2,TK,0.1502400040626526,114.34949893129468
5,8,4096,4096,512,2,NCCL,0.15805439949035643,108.69592519661698
5,8,4096,4096,512,2,TK,0.14858239889144897,115.62519727892692
6,8,4096,4096,512,2,NCCL,0.15708160400390625,109.36907152776958
6,8,4096,4096,512,2,TK,0.147705602645874,116.31156080916541
7,8,4096,4096,512,2,NCCL,0.1579967975616455,108.73555318294943
7,8,4096,4096,512,2,TK,0.14865920543670655,115.56545814658303
0,8,4096,4096,512,4,NCCL,0.16066559553146362,106.92935925187302
0,8,4096,4096,512,4,TK,0.14897279739379882,115.32218958462771
1,8,4096,4096,512,4,NCCL,0.16161279678344725,106.30265378687884
1,8,4096,4096,512,4,TK,0.14899200201034546,115.30732490464213
2,8,4096,4096,512,4,NCCL,0.16013439893722534,107.28406449843872
2,8,4096,4096,512,4,TK,0.14865920543670655,115.56545814658303
3,8,4096,4096,512,4,NCCL,0.16062719821929933,106.95492030275506
3,8,4096,4096,512,4,TK,0.14897919893264772,115.31723426548211
4,8,4096,4096,512,4,NCCL,0.16032639741897584,107.1555867316372
4,8,4096,4096,512,4,TK,0.1490496039390564,115.26276306661323
5,8,4096,4096,512,4,NCCL,0.1581760048866272,108.61235998667236
5,8,4096,4096,512,4,TK,0.148089599609375,116.00996443583067
6,8,4096,4096,512,4,NCCL,0.157695996761322,108.94296327637466
6,8,4096,4096,512,4,TK,0.14677759408950805,117.04694637196025
